Source Name,Sample Name,Characteristics: Organism,Characteristics: cultivar,Characteristics: age,Characteristics: Material Type,Factor Value: Genotype,Factor Value: Spaceflight,Comment: Original Submitted Sample Name,Protocol REF,Parameter Value: Light Cycle,Parameter Value: Environment,Parameter Value: Hardware,Parameter Value: Canister and Position,Parameter Value: duration,Comment: Source description,Comment: Sample description,Protocol REF,Parameter Value: Sample Storage Temperature,Parameter Value: Sample Preservation Method
FA3,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep1,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Space Flight,FLIGHT BRIC A PDFU-3 305 ARG1 KO Rep1,treatment protocol,continuous dark,ISS,BRIC,A3,10 day,"ARG1 KO_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-3",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
FA3.2,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep2,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Space Flight,FLIGHT BRIC A PDFU-3 305 ARG1 KO Rep2,treatment protocol,continuous dark,ISS,BRIC,A3,10 day,"ARG1 KO_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-3",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
FA4,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep3,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Space Flight,FLIGHT BRIC A PDFU-4 326 ARG1 KO,treatment protocol,continuous dark,ISS,BRIC,A4,10 day,"ARG1 KO_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-4",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
FA5,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep4,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Space Flight,FLIGHT BRIC A PDFU-5 327 ARG1 KO,treatment protocol,continuous dark,ISS,BRIC,A5,10 day,"ARG1 KO_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-5",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
GCA3,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep1,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Ground Control,GROUND BRIC A PDFU-3 333 ARG1 KO Rep1,treatment protocol,continuous dark,ISS,BRIC,A3,10 day,ARG1 KO_ground_control_solid media plates; BRIC-17; OES chamber: BRIC-A PDFU-3,tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
GCA3.2,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep2,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Ground Control,GROUND BRIC A PDFU-3 333 ARG1 KO Rep2,treatment protocol,continuous dark,ISS,BRIC,A3,10 day,ARG1 KO_ground_control_solid media plates; BRIC-17; OES chamber: BRIC-A PDFU-3,tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
GCA4,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep3,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Ground Control,GROUND BRIC A PDFU-4 334 ARG1 KO,treatment protocol,continuous dark,ISS,BRIC,A4,10 day,ARG1 KO_ground_control_solid media plates; BRIC-17; OES chamber: BRIC-A PDFU-4,tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
GCA5,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep4,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,ARG1 KO,Ground Control,GROUND BRIC A PDFU-5 336 ARG1 KO,treatment protocol,continuous dark,ISS,BRIC,A5,10 day,ARG1 KO_ground_control_solid media plates; BRIC-17; OES chamber: BRIC-A PDFU-5,tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
FA1,Atha_Col-0_HypocotylCC_WT_FLT_Rep1,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,Wild Type,Space Flight,FLIGHT BRIC A PDFU-1 300 WT Rep1,treatment protocol,continuous dark,ISS,BRIC,A1,10 day,"wildtype_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-1",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
FA1.2,Atha_Col-0_HypocotylCC_WT_FLT_Rep2,Arabidopsis thaliana,Col-0,14 day,hypocotyl cell culture,Wild Type,Space Flight,FLIGHT BRIC A PDFU-1 300 WT Rep2,treatment protocol,continuous dark,ISS,BRIC,A1,10 day,"wildtype_space_flown_solid media plates; BRIC-17; Dragon,ISS; BRIC-A PDFU-1",tissue source: derived from hypocotyls of SALK_024542C plants (ARG1 T-DNA insertion knockout plants),sample collection,-80 degree Celsius,RNALater
