Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Characteristics: Ecotype,Characteristics: Age,Factor Value: Organism Part,Factor Value: Spaceflight,Comment: Original Submitted Sample Name,Protocol REF,Parameter Value: Sample Description,Protocol REF,Parameter Value: Sample Preservation Method,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: Exposure Duration,Parameter Value: Absorbed Radiation Dose,Parameter Value: Maximum Total Absorbed Dose,Parameter Value: Minimum Total Absorbed Dose
Etiolated seedlings,Atha_Col-0_sl_FLT_BA1,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLA1,P-MTAB-25688,BRIC A PDFU-1 052 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_FLT_BA2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLA2,P-MTAB-25688,BRIC A PDFU-2 176 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_FLT_BA3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLA3,P-MTAB-25688,BRIC A PDFU-3 113 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_FLT_BA4,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLA4,P-MTAB-25688,BRIC A PDFU-4 135 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_FLT_BA5,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLA5,P-MTAB-25688,BRIC A PDFU-5 099 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_FLT_BG1,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Space Flight,FLG1,P-MTAB-25688,BRIC G PDFU-1 012 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray
Etiolated seedlings,Atha_Col-0_sl_GC_BA1,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCA1,P-MTAB-25688,CONTROL BRIC A PDFU-1 168 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Etiolated seedlings,Atha_Col-0_sl_GC_BA2,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCA2,P-MTAB-25688,CONTROL BRIC A PDFU-2 315 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Etiolated seedlings,Atha_Col-0_sl_GC_BA3,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCA3,P-MTAB-25688,CONTROL BRIC A PDFU-3 320 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
Etiolated seedlings,Atha_Col-0_sl_GC_BA4,Arabidopsis thaliana,Wild Type,Col-0,7 day,Seedlings,Ground Control,GCA4,P-MTAB-25688,CONTROL BRIC A PDFU-4 314 seedlings,Sample Collection Protocol,RNALater,radiation dosimetry,non-irradiated,12.88 day,0 milligray,0 milligray,0 milligray
