Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Time,Unit,Term Source REF,Term Accession Number,Characteristics: organism part,Term Source REF,Term Accession Number,Characteristics: Seed Source,Protocol REF,Parameter Value: Hardware,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number
"Ground Control, 4 days old, Col0 Rep1",GSM2516735,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,International Space Station Environmental Simulator (ISSES),OSD,https://osdr.nasa.gov/,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Ground Control, 4 days old, Col0 Rep2",GSM2516736,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,International Space Station Environmental Simulator (ISSES),OSD,https://osdr.nasa.gov/,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Ground Control, 4 days old, Col0 Rep3",GSM2516737,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,International Space Station Environmental Simulator (ISSES),OSD,https://osdr.nasa.gov/,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Ground Control, 4 days old, Col0 Rep4",GSM2516738,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,International Space Station Environmental Simulator (ISSES),OSD,https://osdr.nasa.gov/,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Spaceflight, 4 days old, Col0 Rep1",GSM2516739,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Spaceflight, 4 days old, Col0 Rep2",GSM2516740,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Spaceflight, 4 days old, Col0 Rep3",GSM2516741,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Spaceflight, 4 days old, Col0 Rep4",GSM2516742,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS70000,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Ground Control, 4 days old, Sku6 Rep1",GSM2516743,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Sku6,,,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Arabidopsis Biological Resource Center #CS16268,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
"Ground Control, 4 days old, Sku6 Rep2",GSM2516744,Arabidopsis thaliana,EFO,http://purl.obolibrary.org/obo/NCBITaxon_3702,Sku6,,,Ground Control,OSD,https://osdr.nasa.gov/,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Not Available,growth protocol,Vegetable Production System (Veggie),OSD,https://osdr.nasa.gov/,100-135 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,0.5% Phytagel/0.5× Murashige and Skoog media,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348
