Source Name,Sample Name,Characteristics: Organism,Characteristics: Ecotype,Characteristics: age,Factor Value: Spaceflight,Comment: Original Submitted Sample Name,Factor Value: Genotype,Characteristics: organism part,Protocol REF,Parameter Value: growth environment,Parameter Value: Growth Time,Parameter Value: Hardware,Parameter Value: light cycle,Parameter Value: light regimen,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature
GSM2152569,Atha_Col-0_HypocotylCC_WT_FLT_Rep1,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152569,Wild Type,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152570,Atha_Col-0_HypocotylCC_WT_FLT_Rep2,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152570,Wild Type,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152571,Atha_Col-0_HypocotylCC_WT_FLT_Rep3,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152571,Wild Type,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152572,Atha_Col-0_HypocotylCC_WT_FLT_Rep4,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152572,Wild Type,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152573,Atha_Col-0_HypocotylCC_WT_FLT_Rep5,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152573,Wild Type,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152574,Atha_Col-0_HypocotylCC_WT_GC_Rep1,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152574,Wild Type,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152575,Atha_Col-0_HypocotylCC_WT_GC_Rep2,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152575,Wild Type,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152576,Atha_Col-0_HypocotylCC_WT_GC_Rep3,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152576,Wild Type,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152577,Atha_Col-0_HypocotylCC_WT_GC_Rep4,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152577,Wild Type,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152578,Atha_Col-0_HypocotylCC_WT_GC_Rep5,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152578,Wild Type,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152582,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep1,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152582,HSFA2 KO,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152583,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep2,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152583,HSFA2 KO,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152584,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep3,Arabidopsis thaliana,Col-0,14 day,Space Flight,GSM2152584,HSFA2 KO,hypocotyl cell culture,growth protocol,ISS-US Laboratory,10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152585,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep1,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152585,HSFA2 KO,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152586,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep2,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152586,HSFA2 KO,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
GSM2152587,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep3,Arabidopsis thaliana,Col-0,14 day,Ground Control,GSM2152587,HSFA2 KO,hypocotyl cell culture,growth protocol,OES (Orbital Environmental Simulator),10 day,BRIC-LED (Biological Research In a Canister - Light Emitting Diode),24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection protocol,RNALater,-80 degree Celsius
