Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Factor Value: Age,Factor Value: Spaceflight,Factor Value: Cultivar,Characteristics: organism part,Characteristics: Seed Source,Characteristics: developmental stage,Protocol REF,Parameter Value: light source,Parameter Value: Hardware,Parameter Value: Growth time,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Mean Growth Temperature,Parameter Value: Light quality,Parameter Value: light cycle,Parameter Value: Light intensity,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Comment: Sample Title
GSM2509415,SAMN06465201,Arabidopsis thaliana,Wild Type,4 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, Col-0 Rep1"
GSM2509416,SAMN06465179,Arabidopsis thaliana,Wild Type,4 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, Col-0 Rep2"
GSM2509417,SAMN06465197,Arabidopsis thaliana,Wild Type,4 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, Col-0 Rep3"
GSM2509418,SAMN06465194,Arabidopsis thaliana,Wild Type,4 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, Col-0 Rep4"
GSM2509419,SAMN06465190,Arabidopsis thaliana,Wild Type,4 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, Col-0 Rep1"
GSM2509420,SAMN06465187,Arabidopsis thaliana,Wild Type,4 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, Col-0 Rep2"
GSM2509421,SAMN06465183,Arabidopsis thaliana,Wild Type,4 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, Col-0 Rep3"
GSM2509422,SAMN06465181,Arabidopsis thaliana,Wild Type,4 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, Col-0 Rep4"
GSM2509423,SAMN06465177,Arabidopsis thaliana,Wild Type,4 day,Ground Control,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, WS Rep1"
GSM2509424,SAMN06465174,Arabidopsis thaliana,Wild Type,4 day,Ground Control,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, WS Rep2"
GSM2509425,SAMN06465172,Arabidopsis thaliana,Wild Type,4 day,Ground Control,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, WS Rep3"
GSM2509426,SAMN06465170,Arabidopsis thaliana,Wild Type,4 day,Ground Control,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 4 days old, WS Rep4"
GSM2509427,SAMN06465168,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep1"
GSM2509428,SAMN06465165,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep2"
GSM2509429,SAMN06465163,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep3"
GSM2509430,SAMN06465160,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep4"
