Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Strain,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Organism Part,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: Mean Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: light regimen,Term Source REF,Term Accession Number,Parameter Value: Hardware,Parameter Value: container,Parameter Value: Growth Medium,Parameter Value: light source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Comment: Original Submitter Factor
F08,F08,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F18,F18,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F03,F03,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F13,F13,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F28,F28,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F38,F38,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F23,F23,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F33,F33,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F48,F48,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F58,F58,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
