Source Name,Sample Name,Comment: Original Submitted Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Ecotype,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Characteristics: Seed Source,Characteristics: Mission Duration (between launch and landing),Unit,Term Source REF,Term Accession Number,Characteristics: Time between launch and sample harvest,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Color,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Time Start Date (MM/DD/YY),Protocol REF,Parameter Value: Actual Gravity Level,Term Source REF,Term Accession Number,Parameter Value: Light Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Color,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Source,Term Source REF,Term Accession Number,Parameter Value: Gravity Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Mission Launch,Parameter Value: Mission Return,Parameter Value: Launch Date (MM/DD/YY),Protocol REF,Parameter Value: ionizing radiation,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose,Unit,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose rate,Unit,Term Source REF,Term Accession Number,Parameter Value: exposure duration,Unit,Term Source REF,Term Accession Number,Parameter Value: vehicle,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose (from launch to sample harvest),Unit,Term Source REF,Term Accession Number,Parameter Value: ionizing radiation categorized by source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Sample Harvest Date (MM/DD/YY),Term Source REF,Term Accession Number,Comment: RUN,Comment: Mission
Sample 111,Atha_Ler-0_sl_FLT_uG_Rep1,Sample 111,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,29 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,03/23/13,treatment protocol,0G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,9.976 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 1,SG1
Sample 114,Atha_Ler-0_sl_FLT_uG_Rep2,Sample 114,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,29 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,03/23/13,treatment protocol,0G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,9.976 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 1,SG1
Sample 116,Atha_Ler-0_sl_FLT_uG_Rep3,Sample 116,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,29 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,03/23/13,treatment protocol,0G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,9.976 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 1,SG1
Sample 120,Atha_Ler-0_sl_FLT_uG_Rep4,Sample 120,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,29 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,03/23/13,treatment protocol,0G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,9.976 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 1,SG1
Sample 131,Atha_Ler-0_sl_FLT_0.09G_Rep1,Sample 131,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.09G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,70 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/03/13,treatment protocol,0.07G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24.29 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 2,SG1
Sample 136,Atha_Ler-0_sl_FLT_0.09G_Rep2,Sample 136,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.09G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,70 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/03/13,treatment protocol,0.07G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24.29 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 2,SG1
Sample 139,Atha_Ler-0_sl_FLT_0.09G_Rep3,Sample 139,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.09G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,70 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/03/13,treatment protocol,0.11G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24.29 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 2,SG1
Sample 135,Atha_Ler-0_sl_FLT_0.18G_Rep1,Sample 135,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.18G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,70 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/03/13,treatment protocol,0.13G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24.29 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 2,SG1
Sample 151,Atha_Ler-0_sl_FLT_0.18G_Rep2,Sample 151,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.18G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,79 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/12/13,treatment protocol,0.21G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,27.097 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 3,SG1
Sample 156,Atha_Ler-0_sl_FLT_0.18G_Rep3,Sample 156,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005154,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.18G by centrifugation,,,Not Available,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,79 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,1/2 Murashige and Skoog medium (without sucrose),GLDS,https://genelab-data.ndc.nasa.gov/,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,05/12/13,treatment protocol,0.21G,,,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,Blue,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48333,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,SpaceX CRS-2,SpaceX CRS-3,03/01/13,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,27.097 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,,,,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,GLDS,https://genelab-data.ndc.nasa.gov/,SG1 Run 3,SG1
