Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Age,Unit,Term Source REF,Term Accession Number,Characteristics: organism part,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Comment: Sample Title,Characteristics: developmental stage,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
GSM2519300,SAMN06468844,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Sku5 Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519301,SAMN06468842,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Sku5 Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519302,SAMN06468840,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Sku5 Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519303,SAMN06468841,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Sku5 Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519304,SAMN06468834,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Sku5 Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519305,SAMN06468837,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Sku5 Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519306,SAMN06468831,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Sku5 Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519307,SAMN06468839,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Sku5 Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519308,SAMN06468838,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Wassilewskija Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519309,SAMN06468828,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Wassilewskija Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
