Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Characteristics: Material Type,Factor Value: Spaceflight,Factor Value: Altered Gravity,Characteristics: Age at Launch,Protocol REF,Parameter Value: Growth Time,Parameter Value: Mean Growth Temperature,Parameter Value: Hardware,Parameter Value: light cycle,Parameter Value: light regimen,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: exposure duration,Parameter Value: vehicle,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: ionizing radiation categorized by source
"rice calli at spaceflight control, biological rep1",GSM2078440,Oryza sativa,Wild Type,plant callus,Space Flight,uG,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,1.92 milligray,0.116 milligray per day,outer space
"rice calli at spaceflight control, biological rep2",GSM2078441,Oryza sativa,Wild Type,plant callus,Space Flight,uG,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,1.92 milligray,0.116 milligray per day,outer space
"rice calli at spaceflight control, biological rep3",GSM2078442,Oryza sativa,Wild Type,plant callus,Space Flight,uG,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,1.92 milligray,0.116 milligray per day,outer space
"rice calli at spacefligth control, biological rep4",GSM2078443,Oryza sativa,Wild Type,plant callus,Space Flight,uG,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,1.92 milligray,0.116 milligray per day,outer space
"rice calli at 1g-inflight control, biological rep1",GSM2078444,Oryza sativa,Wild Type,plant callus,Space Flight,1G by centrifugation,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,2.27 milligray,0.138 milligray per day,outer space
"rice calli at 1g-inflight control, biological rep2",GSM2078445,Oryza sativa,Wild Type,plant callus,Space Flight,1G by centrifugation,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,2.27 milligray,0.138 milligray per day,outer space
"rice calli at 1g-inflight control, biological rep3",GSM2078446,Oryza sativa,Wild Type,plant callus,Space Flight,1G by centrifugation,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,space radiation,16.5 day,Shenzhou-8,2.27 milligray,0.138 milligray per day,outer space
"rice calli at 1g-ground control, biological rep1",GSM2078447,Oryza sativa,Wild Type,plant callus,Ground Control,1G on Earth,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"rice calli at 1g-ground control, biological rep2",GSM2078448,Oryza sativa,Wild Type,plant callus,Ground Control,1G on Earth,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"rice calli at 1g-ground control, biological rep3",GSM2078449,Oryza sativa,Wild Type,plant callus,Ground Control,1G on Earth,5 day,growth protocol,17 day,23 degree Celsius,SIMBOX,24 dark hour,continuous dark (no light) regimen,treatment protocol,sample collection,RNALater,-20 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
