Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: ecotype,Term Source REF,Term Accession Number,Characteristics: genotype,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Characteristics: Seed Source,Term Source REF,Term Accession Number,Characteristics: Mission Launch,Characteristics: Mission Return,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Factor Value: Light,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: Mean Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Source,Term Source REF,Term Accession Number,Parameter Value: Growth Light Color,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: growth environment,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Mission,Term Source REF,Term Accession Number,Parameter Value: Gravity Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Light Treatment Duration,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Color,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Source,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Treatment Light Cycle,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: ionizing radiation,Term Source REF,Term Accession Number,Parameter Value: vehicle,Term Source REF,Term Accession Number,Parameter Value: ionizing radiation categorized by source,Term Source REF,Term Accession Number
21H5_WT_RED_1g_R1,21H5_WT_RED_Col0_1g_Rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
22A6_WT_RED_1g_R2,22A6_WT_RED_Col0_1g_Rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
23B6_WT_RED_1g_R3,23B6_WT_RED_Col0_1g_Rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
30H7_WT_DARK_1g_R1,30H7_WT_DARK_Col0_1g_Rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Dark Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,0 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
31A8_WT_DARK_1g_R2,31A8_WT_DARK_Col0_1g_Rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Dark Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,0 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
32B8_WT_DARK_1g_R3,32B8_WT_DARK_Col0_1g_Rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,Not Applicable,Not Applicable,Ground Control,,,1G on Earth,,,Dark Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,treatment protocol,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,0 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,non-irradiated,RBO,http://purl.obolibrary.org/obo/RBO_00005025,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660
05G4_WT_RED_03g_R1,05G4_WT_RED_Col0_03g_Rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,SpaceX-4 or SpaceX-11,SpaceX-5 or SpaceX-11,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.34G by centrifugation,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,treatment protocol,SpaceX-6,,,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
06H4_WT_RED_03g_R2,06H4_WT_RED_Col0_03g_Rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,SpaceX-4 or SpaceX-11,SpaceX-5 or SpaceX-11,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.34G by centrifugation,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,treatment protocol,SpaceX-6,,,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
07A5_WT_RED_03g_R3,07A5_WT_RED_Col0_03g_Rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,SpaceX-4 or SpaceX-11,SpaceX-5 or SpaceX-11,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.34G by centrifugation,,,Red Light Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,treatment protocol,SpaceX-6,,,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Red light,SNOWMEDCT,http://purl.bioontology.org/ontology/SNOMEDCT/285330001,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,19 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,light 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
13I4_WT_DARK_03g_R1,13I4_WT_DARK_Col0_03g_Rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,Nottingham Arabidopsis Stock Centre Col-0,GLDS,https://genelab-data.ndc.nasa.gov/,SpaceX-4 or SpaceX-11,SpaceX-5 or SpaceX-11,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.34G by centrifugation,,,Dark Treatment,,,growth protocol,European Modular Cultivation System (EMCS),22.5 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,16:8 light:dark hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,Visible Light,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17732,sterile nitrocellulose membrane with 1% (w/v) Guar Gum affixed on blotter paper soaked in Murashige and Skoogs,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,treatment protocol,SpaceX-6,,,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,2 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,Not Applicable,NCIT,http://purl.obolibrary.org/obo/NCIT_C48660,0 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,dark 24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,sample collection,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,radiation dosimetry,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
