Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Age,Unit,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Factor Value: Ecotype,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Factor Value: Spacecraft,Term Source REF,Term Accession Number,Characteristics: stratification exposure,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Mean Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: light regimen,Term Source REF,Term Accession Number,Parameter Value: Hardware,Parameter Value: Growth Medium,Parameter Value: Quantity of growth medium,Unit,Term Source REF,Term Accession Number,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
"Col-0 Root, Flight, Virgin Galactic, replicate 1",GSM4880342,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"Col-0 Root, Flight, Virgin Galactic, replicate 2",GSM4880343,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"Col-0 Root, Flight, Virgin Galactic, replicate 3",GSM4880344,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"Col-0 Root, Ground Control, Virgin Galactic, replicate 1",GSM4880345,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"Col-0 Root, Ground Control, Virgin Galactic, replicate 2",GSM4880346,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"Col-0 Root, Ground Control, Virgin Galactic, replicate 3",GSM4880347,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Virgin Galactic, replicate 1",GSM4880348,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Virgin Galactic, replicate 2",GSM4880349,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Virgin Galactic, replicate 3",GSM4880350,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Ground Control, Virgin Galactic, replicate 1",GSM4880351,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
