Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Seed Source,Characteristics: Material Type,Characteristics: stratification exposure,Characteristics: Launch Mission,Factor Value: Genotype,Factor Value: Spaceflight,Factor Value: Organism part,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Parameter Value: Growth Medium,Parameter Value: light cycle,Parameter Value: Average percent humidity,Parameter Value: Mean Growth Temperature,Parameter Value: Quantity of growth medium,Parameter Value: light regimen,Parameter Value: Light Color,Parameter Value: Growth Time,Parameter Value: Minimum Growth Temperature,Parameter Value: Maximum Growth Temperature,Parameter Value: Light Intensity,Parameter Value: Growth Time Start Date (MM/DD/YYYY),Parameter Value: growth environment,Comment: Original Source Name,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at sample harvest,Protocol REF,Parameter Value: vehicle,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: ionizing radiation,Parameter Value: ionizing radiation categorized by source,Parameter Value: exposure duration
"Flight, Col-0, Leaves, replicate 1",GSM3331071,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Leaves, Flight, replicate 1 [CLF1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Leaves, replicate 2",GSM3331072,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Leaves, Flight, replicate 2 [CLF2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Leaves, replicate 3",GSM3331073,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Leaves, Flight, replicate 3 [CLF3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Leaves, replicate 4",GSM3331074,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Leaves, Flight, replicate 4 [CLF4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Roots, replicate 1",GSM3331075,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Roots, Flight, replicate 1 [CRF1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Roots, replicate 2",GSM3331076,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Roots, Flight, replicate 2 [CRF2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Roots, replicate 3",GSM3331077,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Roots, Flight, replicate 3 [CRF3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, Col-0, Roots, replicate 4",GSM3331078,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"Col-0, Roots, Flight, replicate 4 [CRF4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Ground control, Col-0, Leaves, replicate 1",GSM3331079,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Ground Control,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Leaves, Ground control, replicate 1 [CLG1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Leaves, replicate 2",GSM3331080,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Ground Control,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Leaves, Ground control, replicate 2 [CLG2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
