Source Name,Sample Name,Characteristics: organism,Factor Value: Genotype,Factor Value: Spaceflight,Comment: Original Submitted Sample Name,Characteristics: organism part,Protocol REF,Parameter Value: Growth environment,Parameter Value: Growth time,Parameter Value: light,Parameter Value: Age at harvest,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: Exposure Duration,Parameter Value: Absorbed Radiation Dose,Parameter Value: Maximum Total Absorbed Dose,Parameter Value: Minimum Total Absorbed Dose,Parameter Value: Sample Preservation Method
Sample 1,Atha_Col-0_wo_WT_GC_Rep1,Arabidopsis thaliana,Wild Type,Ground Control,Sample 1,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 2,Atha_Col-0_wo_WT_GC_Rep2,Arabidopsis thaliana,Wild Type,Ground Control,Sample 2,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 3,Atha_Col-0_wo_WT_GC_Rep3,Arabidopsis thaliana,Wild Type,Ground Control,Sample 3,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 4,Atha_Col-0_wo_WT_FLT_Rep1,Arabidopsis thaliana,Wild Type,Space Flight,Sample 4,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
Sample 5,Atha_Col-0_wo_WT_FLT_Rep2,Arabidopsis thaliana,Wild Type,Space Flight,Sample 5,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
Sample 6,Atha_Col-0_wo_WT_FLT_Rep3,Arabidopsis thaliana,Wild Type,Space Flight,Sample 6,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
Sample 7,Atha_Col-0_wo_act2-3_GC_Rep1,Arabidopsis thaliana,act2-3,Ground Control,Sample 7,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 8,Atha_Col-0_wo_act2-3_GC_Rep2,Arabidopsis thaliana,act2-3,Ground Control,Sample 8,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 9,Atha_Col-0_wo_act2-3_GC_Rep3,Arabidopsis thaliana,act2-3,Ground Control,Sample 9,Whole Organism,P-MTAB-41645,Orbital Environmental Simulator,14 day,complete darkness,14 day,radiation dosimetry protocol,non-irradiated,0 day,0 milligray,0 milligray,0 milligray,RNALater
Sample 10,Atha_Col-0_wo_act2-3_FLT_Rep1,Arabidopsis thaliana,act2-3,Space Flight,Sample 10,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
Sample 11,Atha_Col-0_wo_act2-3_FLT_Rep2,Arabidopsis thaliana,act2-3,Space Flight,Sample 11,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
Sample 12,Atha_Col-0_wo_act2-3_FLT_Rep3,Arabidopsis thaliana,act2-3,Space Flight,Sample 12,Whole Organism,P-MTAB-41645,Space Shuttle Discovery,14 day,complete darkness,14 day,radiation dosimetry protocol,space radiation,12.88 day,3.2 milligray,4.42 milligray,2.62 milligray,RNALater
