Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Genotype,Characteristics: organism part,Factor Value: Altered Gravity,Factor Value: Time,Characteristics: stratification exposure,Protocol REF,Parameter Value: light source,Parameter Value: light cycle,Parameter Value: Light intensity,Parameter Value: Quantity of growth medium,Parameter Value: Growth Medium,Parameter Value: light regimen,Parameter Value: Mean Growth Temperature,Parameter Value: Hardware,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at sample harvest
"pCaMV35S:14-3-3k:GFP Root, Level Flight, replicate 1",GSM4848978,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,Level flight,Roots of seedlings fixed during level flight,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Level Flight, replicate 2",GSM4848979,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,Level flight,Roots of seedlings fixed during level flight,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Level Flight, replicate 3",GSM4848980,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,Level flight,Roots of seedlings fixed during level flight,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Level Flight, replicate 4",GSM4848981,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,Level flight,Roots of seedlings fixed during level flight,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 1, replicate 1",GSM4848982,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the first parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 1, replicate 2",GSM4848983,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the first parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 1, replicate 3",GSM4848984,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the first parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 1, replicate 4",GSM4848985,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the first parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 3, replicate 1",GSM4848986,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the third parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
"pCaMV35S:14-3-3k:GFP Root, Parabola 3, replicate 2",GSM4848987,Arabidopsis thaliana,Wassilewskija ecotype,pCaMV35S:14-3-3k:GFP,Plant Roots,"Gravity, Altered",Roots of seedlings fixed after the third parabola,3-5 day,growth protocol,fluorescent lighting,24 light hour,80 micromole per square meter per second,50 milliliter,"0.5% Phytagel-based growth medium supplemented with: 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",continuous light regimen,19 degree Celsius,UF growth room,treatment protocol,sample collection,RNALater,-80 degree Celsius,10 day
