Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Age at launch,Characteristics: Seed Source,Factor Value: Spaceflight,Factor Value: Genotype,Factor Value: Light Cycle,Characteristics: organism part,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Parameter Value: Light intensity,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Growth time,Parameter Value: Number of leaves at onset of treatment,Parameter Value: Light color,Parameter Value: Light quality,Parameter Value: Minimum Growth Temperature,Parameter Value: Maximum Growth Protocol,Protocol REF,Parameter Value: duration,Parameter Value: Developmental stage at onset of treatment,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample storage temperature,Parameter Value: Developmental stage at time of sample collection,Parameter Value: Age at harvest,Parameter Value: Number of leaves at time of sample collection,Parameter Value: Number of open flowers at time of sample collection
C4a_LG,GSM5730379,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4a_LW,GSM5730380,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,Wild Type,16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4a_SG,GSM5730381,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4a_SW,GSM5730382,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,Wild Type,8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4b_LG,GSM5730383,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4b_LW,GSM5730384,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,Wild Type,16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4b_SG,GSM5730385,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
C4b_SW,GSM5730386,Arabidopsis thaliana,Col-0,20 day,Not Available,Ground Control,Wild Type,8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,ground control,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
S4a_LG,GSM5730387,Arabidopsis thaliana,Col-0,20 day,Not Available,Space Flight,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,SJ-10,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
S4a_LW,GSM5730388,Arabidopsis thaliana,Col-0,20 day,Not Available,Space Flight,Wild Type,16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,SJ-10,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
S4a_SG,GSM5730389,Arabidopsis thaliana,Col-0,20 day,Not Available,Space Flight,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,SJ-10,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
S4a_SW,GSM5730390,Arabidopsis thaliana,Col-0,20 day,Not Available,Space Flight,Wild Type,8:16 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,SJ-10,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
S4b_LG,GSM5730391,Arabidopsis thaliana,Col-0,20 day,Not Available,Space Flight,"pHSP::FT, pHSP:GFP (FG) gene were co-expression",16:8 light:dark hour,Plant Leaves,Growth protocol,plant growth units (PGUs),Light Emitting Diode Device,120 umol m-2 s-1,SJ-10,vermiculite immersed by a medium containing MS macronutrients,303 hour,6-7,white and red,400-700 nanometer,20 degree Celsius,24 degree Celsius,Treatment protocol,303 hour,early rosette growth stage,sample collection,RNALater,Not Available,FL.00 first flower(s) open stage,305 hour,Not Available,Not Available
