Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: ecotype,Term Source REF,Term Accession Number,Characteristics: developmental stage,Term Source REF,Term Accession Number,Characteristics: age,Unit,Term Source REF,Term Accession Number,Factor Value: Time,Factor Value: Organism Part,Term Source REF,Term Accession Number,Characteristics: Seed Source,Factor Value: Altered Gravity,Protocol REF,Parameter Value: substrate,Parameter Value: light cycle,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: light regimen,Term Source REF,Term Accession Number,Parameter Value: Intensity,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: substrate,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: spacecraft,Term Source REF,Term Accession Number,Parameter Value: duration,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
SRX20707853,Ground-1-ROOTS-rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G1,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707854,Ground-1-ROOTS-rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G1,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707855,Ground-1-LEAVES-rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G1,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707856,Ground-1-LEAVES-rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G1,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707857,Ground-2-LEAVES-rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G2,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707858,Ground-2-LEAVES-rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G2,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707859,Ground-2-LEAVES-rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G2,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707860,Ground-3-LEAVES-rep1,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G3,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707861,Ground-3-LEAVES-rep2,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G3,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
SRX20707862,Ground-3-LEAVES-rep3,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Cotyledons fully open,OSD,https://osdr.nasa.gov/,7 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,G3,Plant Leaves,MESH,http://purl.bioontology.org/ontology/MESH/D018515,"Internal lab stock maintained by UF Space Plants Laboratory, University of Florida",Ground Control,Growth Protocol,"1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour light,Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,Treatment Protocol,"Stainless steel mesh coupon coated with 1% Phytagel, 0.5× MS media, 5g/L sucrose",24 hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,Ground Control,OSD,https://osdr.nasa.gov/,857 second,second,UO,http://purl.obolibrary.org/obo/UO_0000010,sample collection,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,Not Available,Not Available,OSD,https://osdr.nasa.gov/
